movie_title;director_name;num_critic_for_reviews;duration;actor_1_name;actor_2_name;num_voted_users;facenumber_in_poster;num_user_for_reviews;language;country;content_rating;budget;title_year;imdb_score
Back to the Future;Robert Zemeckis;198;116;Lea Thompson;Thomas F. Wilson;732212;0;809;English;USA;PG;19000000;1985;8.5
Goodfellas;Martin Scorsese;192;146;Robert De Niro;Mike Starr;728685;3;989;English;USA;R;25000000;1990;
WALL·E;Andrew Stanton;421;;John Ratzenberger;Fred Willard;718837;0;1043;English;USA;G;180000000;2008;8.4
The Sixth Sense;M. Night Shyamalan;234;107;Bruce Willis;Haley Joel Osment;704766;0;2073;English;USA;PG-13;40000000;1999;8.1
The Hunger Games;Gary Ross;673;142;Jennifer Lawrence;Josh Hutcherson;701607;0;1959;English;USA;PG-13;;2012;7.3
Iron Man;Jon Favreau;486;126;Robert Downey Jr.;Jeff Bridges;696338;3;1055;English;USA;PG-13;;2008;7.9
Finding Nemo;Andrew Stanton;301;100;Alexander Gould;Stephen Root;692482;0;866;English;USA;G;94000000;2003;8.2
Guardians of the Galaxy;James Gunn;653;121;Bradley Cooper;Vin Diesel;682155;3;1097;English;USA;PG-13;170000000;2014;8.1
Star Wars: Episode VI - Return of the Jedi;Richard Marquand;197;134;Harrison Ford;Ian McDiarmid;681857;0;647;English;USA;PG;32500000;1983;8.4
One Flew Over the Cuckoo's Nest;Milos Forman;149;133;Scatman Crothers;Michael Berryman;680041;0;760;English;USA;R;4400000;1975;8.7
The Truman Show;Peter Weir;213;103;Natascha McElhone;Noah Emmerich;667983;1;877;English;USA;PG;60000000;1998;8.1
Eternal Sunshine of the Spotless Mind;Michel Gondry;273;108;Kate Winslet;Kirsten Dunst;666937;1;1514;English;USA;R;20000000;2004;8.3
Up;Pete Docter;408;96;John Ratzenberger;Delroy Lindo;665575;1;704;English;USA;PG;175000000;2009;8.3
Reservoir Dogs;Quentin Tarantino;173;99;Quentin Tarantino;Steve Buscemi;664719;0;931;English;USA;R;1200000;1992;8.4
Raiders of the Lost Ark;Steven Spielberg;234;115;Harrison Ford;Karen Allen;661017;1;771;English;USA;PG;18000000;1981;8.5
Sin City;Frank Miller;374;147;Rosario Dawson;Powers Boothe;656640;1;1732;English;USA;R;40000000;2005;8.1
The Lion King;Roger Allers;186;73;Matthew Broderick;Nathan Lane;644348;0;656;English;USA;G;45000000;1994;8.5
Slumdog Millionaire;Danny Boyle;418;120;Anil Kapoor;Saurabh Shukla;641997;0;1017;English;UK;R;15000000;2008;8.0
The Hobbit: An Unexpected Journey;Peter Jackson;645;182;Aidan Turner;Adam Brown;637246;1;1367;English;USA;PG-13;180000000;2012;7.9
The Hobbit: An Unexpected Journey;Peter Jackson;645;182;Aidan Turner;Adam Brown;637246;1;1367;English;USA;PG-13;180000000;2012;7.9
Toy Story;John Lasseter;166;74;Tom Hanks;John Ratzenberger;623757;1;391;English;USA;G;30000000;1995;8.3
Jurassic Park;Steven Spielberg;308;127;Wayne Knight;Ariana Richards;613473;0;895;English;USA;PG-13;63000000;1993;8.1
No Country for Old Men;Ethan Coen;488;122;Kelly Macdonald;Stephen Root;612060;0;1518;English;USA;R;25000000;2007;8.1
A Beautiful Mind;Ron Howard;205;135;Adam Goldberg;Austin Pendleton;610568;0;1171;English;USA;PG-13;58000000;2001;8.2
The Shining;Stanley Kubrick;253;146;Scatman Crothers;Shelley Duvall;610333;0;1320;English;USA;R;19000000;1980;
Good Will Hunting;Gus Van Sant;161;126;Robin Williams;Matt Damon;604904;2;682;English;USA;R;;1997;8.3
Snatch;Guy Ritchie;151;104;Jason Statham;Brad Pitt;600996;6;726;English;UK;R;6000000;2000;8.3
The Terminator;James Cameron;204;;Michael Biehn;Brian Thompson;600266;1;692;English;UK;R;6500000;1984;8.1
Die Hard;John McTiernan;233;131;Alan Rickman;Bruce Willis;592582;0;722;English;USA;R;28000000;1988;8.2
Monsters  Inc.;Pete Docter;250;92;Steve Buscemi;John Ratzenberger;585659;0;593;English;USA;G;115000000;2001;8.1
The Hangover;Todd Phillips;334;108;Bradley Cooper;Rob Riggle;583341;3;626;English;USA;R;35000000;2009;7.8
Gravity;Alfonso Cuarón;738;;Phaldut Sharma;Basher Savage;582917;0;1885;English;UK;PG-13;100000000;2013;7.8
Donnie Darko;Richard Kelly;283;133;Jake Gyllenhaal;Mary McDonnell;580999;1;2110;English;USA;R;4500000;2001;8.1
Requiem for a Dream;Darren Aronofsky;234;102;Ellen Burstyn;Mark Margolis;573541;0;1916;English;USA;R;4500000;2000;8.4
Gone Girl;David Fincher;568;149;Patrick Fugit;Sela Ward;569841;0;1127;English;USA;R;61000000;2014;8.1
Alien;Ridley Scott;392;116;Tom Skerritt;Yaphet Kotto;563827;0;1110;English;UK;R;11000000;1979;8.5
Gran Torino;Clint Eastwood;366;116;Clint Eastwood;Dreama Walker;561773;0;871;English;USA;R;33000000;2008;8.2
Iron Man 3;Shane Black;608;195;Robert Downey Jr.;Jon Favreau;557489;3;1187;English;USA;PG-13;200000000;2013;7.2
Mad Max: Fury Road;George Miller;739;120;Tom Hardy;Charlize Theron;552503;0;1588;English;Australia;R;150000000;2015;8.1
Black Swan;Darren Aronofsky;669;108;Natalie Portman;Mila Kunis;551363;1;1140;English;USA;R;13000000;2010;8.0
Man of Steel;Zack Snyder;733;143;Henry Cavill;Christopher Meloni;548573;0;2536;English;USA;PG-13;225000000;2013;7.2
Toy Story 3;Lee Unkrich;453;103;Tom Hanks;John Ratzenberger;544884;3;733;English;USA;G;200000000;2010;8.3
Spider-Man;Sam Raimi;291;121;J.K. Simmons;James Franco;544665;0;2012;English;USA;PG-13;139000000;2002;7.3
Scarface;Brian De Palma;147;142;Al Pacino;F. Murray Abraham;537442;0;851;English;USA;R;;1983;8.3
The Big Lebowski;Joel Coen;249;117;Philip Seymour Hoffman;Jeff Bridges;537419;1;1028;English;USA;R;15000000;1998;8.2
Thor;Kenneth Branagh;516;115;Chris Hemsworth;Natalie Portman;536314;1;738;English;USA;PG-13;150000000;2011;7.0
Star Wars: Episode I - The Phantom Menace;George Lucas;320;;Natalie Portman;Liam Neeson;534658;1;3597;English;USA;PG;115000000;1999;6.5
Amélie;Jean-Pierre Jeunet;242;122;Mathieu Kassovitz;Jamel Debbouze;534262;0;1314;French;France;R;77000000;2001;8.4
Silver Linings Playbook;David O. Russell;539;122;Jennifer Lawrence;Robert De Niro;533607;0;692;English;USA;R;21000000;2012;7.8
City of God;Fernando Meirelles;214;135;Alice Braga;Seu Jorge;533200;0;749;Portuguese;Brazil;R;;2002;8.7
District 9;Neill Blomkamp;472;112;Sharlto Copley;Jed Brophy;531737;0;1262;English;South Africa;R;30000000;2009;8.0
I Am Legend;Francis Lawrence;323;104;Will Smith;Alice Braga;530870;0;1413;English;USA;PG-13;150000000;2007;7.2
Catch Me If You Can;Steven Spielberg;194;141;Leonardo DiCaprio;Tom Hanks;525801;0;667;English;USA;PG-13;52000000;2002;8.0
Iron Man 2;Jon Favreau;453;124;Robert Downey Jr.;Scarlett Johansson;522371;4;723;English;USA;PG-13;200000000;2010;7.0
Pirates of the Caribbean: Dead Man's Chest;Gore Verbinski;313;151;Johnny Depp;Orlando Bloom;522040;2;1832;English;USA;PG-13;225000000;2006;7.3
Skyfall;Sam Mendes;750;143;Albert Finney;Helen McCrory;522030;0;1498;English;UK;PG-13;200000000;2012;7.8
Star Wars: Episode III - Revenge of the Sith;George Lucas;359;;Natalie Portman;Christopher Lee;520104;4;3286;English;USA;PG-13;113000000;2005;7.6
X-Men: First Class;Matthew Vaughn;500;132;Jennifer Lawrence;Michael Fassbender;518537;3;698;English;USA;PG-13;160000000;2011;7.8
Indiana Jones and the Last Crusade;Steven Spielberg;149;127;Harrison Ford;Julian Glover;515306;5;477;English;USA;PG-13;48000000;1989;8.3
X-Men: Days of Future Past;Bryan Singer;539;149;Jennifer Lawrence;Peter Dinklage;514125;7;752;English;USA;PG-13;200000000;2014;8.0
Transformers;Michael Bay;396;144;Zack Ward;Michael O'Neill;513158;0;1782;English;USA;PG-13;150000000;2007;7.1
Kill Bill: Vol. 2;Quentin Tarantino;304;137;Vivica A. Fox;Michael Parks;512749;0;935;English;USA;R;30000000;2004;8.0
Captain America: The First Avenger;Joe Johnston;510;124;Chris Evans;Dominic Cooper;508818;0;679;English;USA;PG-13;140000000;2011;6.9
Taxi Driver;Martin Scorsese;211;110;Robert De Niro;Albert Brooks;507063;1;881;English;USA;R;1300000;1976;8.3
Star Trek;J.J. Abrams;518;127;Chris Hemsworth;Leonard Nimoy;504419;0;1559;English;USA;PG-13;150000000;2009;8.0
The King's Speech;Tom Hooper;479;118;Colin Firth;Jennifer Ehle;503631;0;636;English;UK;R;15000000;2010;8.0
The Good  the Bad and the Ugly;Sergio Leone;181;142;Clint Eastwood;Luigi Pistilli;503509;3;780;Italian;Italy;Approved;;1966;
The Hunger Games: Catching Fire;Francis Lawrence;502;146;Jennifer Lawrence;Josh Hutcherson;498397;1;706;English;USA;PG-13;130000000;2013;7.6
The Pianist;Roman Polanski;193;150;Emilia Fox;Frank Finlay;497946;0;761;English;France;R;35000000;2002;8.5
Captain America: The Winter Soldier;Anthony Russo;576;136;Scarlett Johansson;Chris Evans;496749;1;742;English;USA;PG-13;170000000;2014;7.8
The Bourne Ultimatum;Paul Greengrass;329;115;Matt Damon;Edgar Ramírez;491077;0;820;English;USA;PG-13;110000000;2007;8.1
Aliens;James Cameron;250;;Michael Biehn;Carrie Henn;488537;1;1076;English;USA;R;18500000;1986;8.4
How to Train Your Dragon;Dean DeBlois;288;98;Gerard Butler;America Ferrera;485430;0;492;English;USA;PG;165000000;2010;8.2
Taken;Pierre Morel;309;93;Liam Neeson;Holly Valance;483756;0;974;English;France;PG-13;25000000;2008;7.9
The Hobbit: The Desolation of Smaug;Peter Jackson;509;186;Aidan Turner;Adam Brown;483540;6;951;English;USA;PG-13;225000000;2013;7.9
Million Dollar Baby;Clint Eastwood;268;132;Clint Eastwood;Morgan Freeman;482064;1;1106;English;USA;PG-13;30000000;2004;8.1
The Social Network;David Fincher;556;120;Andrew Garfield;Dustin Fitzsimons;479453;0;696;English;USA;PG-13;40000000;2010;7.7
The Incredibles;Brad Bird;283;115;Holly Hunter;Craig T. Nelson;479166;0;815;English;USA;PG;92000000;2004;8.0
Deadpool;Tim Miller;579;108;Ryan Reynolds;Ed Skrein;479047;0;1058;English;USA;R;58000000;2016;8.1
Sherlock Holmes;Guy Ritchie;415;128;Robert Downey Jr.;Eddie Marsan;477300;3;621;English;USA;PG-13;90000000;2009;7.6
The Grand Budapest Hotel;Wes Anderson;536;99;Bill Murray;Tom Wilkinson;475518;0;644;English;USA;R;25000000;2014;8.1
Ratatouille;Brad Bird;318;111;Janeane Garofalo;John Ratzenberger;473887;0;626;English;USA;G;150000000;2007;8.0
The Martian;Ridley Scott;568;151;Matt Damon;Donald Glover;472488;1;1023;English;USA;PG-13;108000000;2015;8.1
Ted;Seth MacFarlane;457;112;Mila Kunis;Seth MacFarlane;471644;1;623;English;USA;R;50000000;2012;7.0
Pirates of the Caribbean: At World's End;Gore Verbinski;302;169;Johnny Depp;Orlando Bloom;471220;0;1238;English;USA;PG-13;300000000;2007;7.1
Casino Royale;Martin Campbell;400;144;Eva Green;Tobias Menzies;470483;1;2301;English;UK;PG-13;150000000;2006;8.0
Trainspotting;Danny Boyle;134;94;Kelly Macdonald;Shirley Henderson;469561;4;514;English;UK;R;3500000;1996;8.2
The Imitation Game;Morten Tyldum;454;114;Benedict Cumberbatch;Rory Kinnear;467613;1;608;English;UK;PG-13;14000000;2014;8.1
Pan's Labyrinth;Guillermo del Toro;406;112;Ivana Baquero;Maribel Verdú;467234;0;1083;Spanish;Spain;R;13500000;2006;8.2
Shrek;Andrew Adamson;212;90;Kathleen Freeman;Chris Miller;467113;1;945;English;USA;PG;60000000;2001;7.9
World War Z;Marc Forster;654;123;Peter Capaldi;Brad Pitt;465019;0;995;English;USA;PG-13;190000000;2013;7.0
Star Wars: Episode II - Attack of the Clones;George Lucas;284;;Natalie Portman;Christopher Lee;464310;3;3516;English;USA;PG;115000000;2002;6.7
Avengers: Age of Ultron;Joss Whedon;635;141;Chris Hemsworth;Robert Downey Jr.;462669;4;1117;English;USA;PG-13;250000000;2015;7.5
Blade Runner;Ridley Scott;302;117;Harrison Ford;Sean Young;461609;2;1168;English;USA;R;28000000;1982;8.2
The Curious Case of Benjamin Button;David Fincher;362;166;Brad Pitt;Jason Flemyng;459346;2;822;English;USA;PG-13;150000000;2008;7.8
Prometheus;Ridley Scott;775;124;Michael Fassbender;Charlize Theron;456260;0;2326;English;USA;R;130000000;2012;7.0
X-Men;Bryan Singer;290;104;Hugh Jackman;Tyler Mane;452928;0;1401;English;USA;PG-13;75000000;2000;7.4
Argo;Ben Affleck;656;130;Clea DuVall;Scoot McNairy;452465;1;695;English;USA;R;44500000;2012;7.7
The Amazing Spider-Man;Marc Webb;599;153;Emma Stone;Andrew Garfield;451803;0;1225;English;USA;PG-13;230000000;2012;7.0
Apocalypse Now;Francis Ford Coppola;261;289;Harrison Ford;Marlon Brando;450676;1;983;English;USA;R;31500000;1979;8.5
Now You See Me;Louis Leterrier;384;125;Morgan Freeman;Common;447979;6;629;English;USA;PG-13;75000000;2013;7.3
12 Angry Men;Sidney Lumet;177;96;Jack Warden;Lee J. Cobb;447785;1;888;English;USA;Not Rated;350000;1957;8.9
Harry Potter and the Sorcerer's Stone;Chris Columbus;258;159;Daniel Radcliffe;Fiona Shaw;444683;4;1571;English;UK;PG;125000000;2001;7.5
Life of Pi;Ang Lee;552;127;Suraj Sharma;Rafe Spall;440084;0;755;English;USA;PG;120000000;2012;8.0
12 Years a Slave;Steve McQueen;597;134;Quvenzhané Wallis;Scoot McNairy;439176;0;695;English;USA;R;20000000;2013;8.1
Groundhog Day;Harold Ramis;147;101;Bill Murray;Chris Elliott;437418;1;609;English;USA;PG;14600000;1993;8.1
Kick-Ass;Matthew Vaughn;447;117;Elizabeth McGovern;Deborah Twiss;435864;1;801;English;UK;R;30000000;2010;7.7
Edge of Tomorrow;Doug Liman;585;113;Tom Cruise;Lara Pulver;431620;1;741;English;USA;PG-13;178000000;2014;7.9
Drive;Nicolas Winding Refn;676;100;Ryan Gosling;Albert Brooks;431578;0;1264;English;USA;R;15000000;2011;7.8
Independence Day;Roland Emmerich;185;154;Will Smith;Adam Baldwin;430055;0;856;English;USA;PG-13;75000000;1996;6.9
Looper;Rian Johnson;589;119;Joseph Gordon-Levitt;Bruce Willis;428916;0;667;English;USA;R;30000000;2012;7.4
2001: A Space Odyssey;Stanley Kubrick;285;161;Keir Dullea;Gary Lockwood;427357;0;1736;English;UK;G;12000000;1968;8.3
Into the Wild;Sean Penn;274;148;Kristen Stewart;William Hurt;426359;0;760;English;USA;R;15000000;2007;8.2
Superbad;Greg Mottola;256;119;Emma Stone;Joe Lo Truglio;422606;2;555;English;USA;R;20000000;2007;7.6
Psycho;Alfred Hitchcock;290;;Janet Leigh;Vera Miles;422432;2;1040;English;USA;R;806947;1960;8.5
The Matrix Reloaded;Lana Wachowski;275;138;Steve Bastoni;Daniel Bernhardt;421818;0;2789;English;USA;R;150000000;2003;7.2
Frozen;Chris Buck;406;102;Josh Gad;Maurice LaMarche;421658;0;904;English;USA;PG;150000000;2013;7.6
Jurassic World;Colin Trevorrow;644;124;Bryce Dallas Howard;Judy Greer;418214;0;1290;English;USA;PG-13;150000000;2015;7.0
Spirited Away;Hayao Miyazaki;246;125;Bunta Sugawara;Ryûnosuke Kamiki;417971;0;902;Japanese;Japan;PG;19000000;2001;8.6
Lock  Stock and Two Smoking Barrels;Guy Ritchie;116;120;Jason Statham;Jason Flemyng;414976;1;523;English;UK;R;960000;1998;8.2
Juno;Jason Reitman;387;96;J.K. Simmons;Jennifer Garner;414335;0;881;English;USA;PG-13;7500000;2007;7.5
L.A. Confidential;Curtis Hanson;177;138;Kevin Spacey;Matt McCoy;414219;2;625;English;USA;R;35000000;1997;8.3
Thor: The Dark World;Alan Taylor;486;112;Chris Hemsworth;Natalie Portman;414070;3;532;English;USA;PG-13;170000000;2013;7.1
Jaws;Steven Spielberg;385;130;Roy Scheider;Robert Shaw;412454;0;962;English;USA;PG;8000000;1975;8.0
Spider-Man 2;Sam Raimi;300;135;J.K. Simmons;James Franco;411164;1;1303;English;USA;PG-13;200000000;2004;7.3
21 Jump Street;Phil Lord;375;109;Channing Tatum;Dax Flame;408302;2;345;English;USA;R;42000000;2012;7.2
The Bourne Identity;Doug Liman;249;119;Matt Damon;Josh Hamilton;407601;1;849;English;USA;PG-13;60000000;2002;7.9
The Revenant;Alejandro G. Iñárritu;556;156;Leonardo DiCaprio;Tom Hardy;406020;0;1188;English;USA;R;135000000;2015;
X-Men 2;Bryan Singer;289;134;Hugh Jackman;Bruce Davison;405973;4;1055;English;Canada;PG-13;110000000;2003;7.5
Rise of the Planet of the Apes;Rupert Wyatt;529;105;James Franco;David Oyelowo;403836;0;646;English;USA;PG-13;93000000;2011;7.6
Men in Black;Barry Sonnenfeld;175;;Will Smith;Rip Torn;403014;0;289;English;USA;PG-13;90000000;1997;7.3
Ocean's Eleven;Steven Soderbergh;186;116;Brad Pitt;Bernie Mac;402645;4;845;English;USA;PG-13;85000000;2001;7.8
Blood Diamond;Edward Zwick;166;143;Leonardo DiCaprio;Djimon Hounsou;400292;0;657;English;Germany;R;100000000;2006;
Minority Report;Steven Spielberg;252;145;Tom Cruise;Frank Grillo;399651;0;1331;English;USA;PG-13;102000000;2002;7.7
Whiplash;Damien Chazelle;535;107;J.K. Simmons;Melissa Benoist;399138;0;731;English;USA;R;3300000;2014;8.5
The Notebook;Nick Cassavetes;177;123;Ryan Gosling;Kevin Connolly;396396;0;1111;English;USA;PG-13;29000000;2004;7.9
Shaun of the Dead;Edgar Wright;246;99;Peter Serafinowicz;Dylan Moran;395921;6;859;English;UK;R;4000000;2004;8.0
Star Trek Into Darkness;J.J. Abrams;590;132;Benedict Cumberbatch;Bruce Greenwood;395573;0;1171;English;USA;PG-13;190000000;2013;7.8
Birdman or (The Unexpected Virtue of Ignorance);Alejandro G. Iñárritu;588;119;Emma Stone;Naomi Watts;395087;8;1101;English;USA;R;18000000;2014;7.8
Cast Away;Robert Zemeckis;221;143;Tom Hanks;Paul Sanchez;394317;1;1051;English;USA;PG-13;90000000;2000;7.7
Watchmen;Zack Snyder;451;215;Matt Frewer;Billy Crudup;392474;1;1229;English;USA;R;130000000;2009;7.7
I  Robot;Alex Proyas;225;115;Will Smith;Bruce Greenwood;387632;1;789;English;USA;PG-13;120000000;2004;7.1
Harry Potter and the Chamber of Secrets;Chris Columbus;232;174;Daniel Radcliffe;Rupert Grint;387616;1;858;English;UK;PG;100000000;2002;7.4
Casablanca;Michael Curtiz;242;82;Humphrey Bogart;Claude Rains;387508;4;1123;English;USA;PG;950000;1942;8.6
Oblivion;Joseph Kosinski;539;124;Morgan Freeman;Tom Cruise;387436;0;892;English;USA;PG-13;120000000;2013;7.0
Zombieland;Ruben Fleischer;445;88;Emma Stone;Bill Murray;386217;4;553;English;USA;R;23600000;2009;7.7
Despicable Me;Pierre Coffin;304;87;Steve Carell;Miranda Cosgrove;385943;0;296;English;USA;PG;69000000;2010;7.7
Toy Story 2;John Lasseter;191;82;Tom Hanks;John Ratzenberger;385871;2;515;English;USA;G;90000000;1999;7.9
Harry Potter and the Goblet of Fire;Mike Newell;295;157;Robert Pattinson;Daniel Radcliffe;385670;1;1896;English;UK;PG-13;150000000;2005;7.6
Rain Man;Barry Levinson;100;133;Tom Cruise;Valeria Golino;383784;3;331;English;USA;R;25000000;1988;8.0
Prisoners;Denis Villeneuve;454;153;Hugh Jackman;Jake Gyllenhaal;383591;2;620;English;USA;R;46000000;2013;8.1
X-Men: The Last Stand;Brett Ratner;334;104;Hugh Jackman;Kelsey Grammer;383427;0;1912;English;Canada;PG-13;210000000;2006;6.8
Spider-Man 3;Sam Raimi;392;156;J.K. Simmons;James Franco;383071;0;1902;English;USA;PG-13;258000000;2007;
Harry Potter and the Prisoner of Azkaban;Alfonso Cuarón;274;;Daniel Radcliffe;Gary Oldman;382255;3;1504;English;UK;PG;130000000;2004;7.8
Monty Python and the Holy Grail;Terry Gilliam;131;91;Eric Idle;Michael Palin;382240;0;660;English;UK;PG;229575;1975;8.3
Troy;Wolfgang Petersen;220;196;Brad Pitt;Orlando Bloom;381672;2;1694;English;USA;R;175000000;2004;7.2
Pacific Rim;Guillermo del Toro;575;131;Charlie Hunnam;Clifton Collins Jr.;381148;0;1106;English;USA;PG-13;190000000;2013;7.0
Source Code;Duncan Jones;522;93;Jake Gyllenhaal;Cas Anvar;379462;3;571;English;USA;PG-13;32000000;2011;7.5
500 Days of Summer;Marc Webb;331;95;Joseph Gordon-Levitt;Chloë Grace Moretz;376600;43;494;English;USA;PG-13;7500000;2009;7.7
The Hangover Part II;Todd Phillips;383;102;Bradley Cooper;Mason Lee;375879;0;402;English;USA;R;80000000;2011;6.5
Crazy  Stupid  Love.;Glenn Ficarra;310;118;Ryan Gosling;Emma Stone;375456;7;292;English;USA;PG-13;50000000;2011;7.4
Rocky;John G. Avildsen;141;145;Sylvester Stallone;Burgess Meredith;375240;0;542;English;USA;PG;960000;1976;8.1
There Will Be Blood;Paul Thomas Anderson;398;158;Jim Meskimen;Paul F. Tompkins;372990;0;1107;English;USA;R;25000000;2007;8.1
Batman v Superman: Dawn of Justice;Zack Snyder;673;183;Henry Cavill;Lauren Cohan;371639;0;3018;English;USA;PG-13;250000000;2016;6.9
Pirates of the Caribbean: On Stranger Tides;Rob Marshall;448;136;Johnny Depp;Sam Claflin;370704;4;484;English;USA;PG-13;250000000;2011;6.7
